Id,Label,Gene,Sub
G_1_S_0,G_1_S_0,1,0
G_891_S_0,G_891_S_0,891,0
G_10_S_0,G_10_S_0,10,0
G_289_S_0,G_289_S_0,289,0
G_27_S_0,G_27_S_0,27,0
G_185_S_0,G_185_S_0,185,0
G_807_S_0,G_807_S_0,807,0
G_33_S_0,G_33_S_0,33,0
G_422_S_0,G_422_S_0,422,0
G_49_S_0,G_49_S_0,49,0
G_61_S_0,G_61_S_0,61,0
G_146_S_0,G_146_S_0,146,0
G_54_S_0,G_54_S_0,54,0
G_433_S_0,G_433_S_0,433,0
G_60_S_0,G_60_S_0,60,0
G_348_S_0,G_348_S_0,348,0
G_80_S_0,G_80_S_0,80,0
G_74_S_0,G_74_S_0,74,0
G_389_S_0,G_389_S_0,389,0
G_116_S_0,G_116_S_0,116,0
G_183_S_0,G_183_S_0,183,0
G_193_S_0,G_193_S_0,193,0
G_578_S_0,G_578_S_0,578,0
G_792_S_0,G_792_S_0,792,0
G_815_S_0,G_815_S_0,815,0
G_155_S_0,G_155_S_0,155,0
G_313_S_0,G_313_S_0,313,0
G_437_S_0,G_437_S_0,437,0
G_810_S_1,G_810_S_1,810,1
G_892_S_0,G_892_S_0,892,0
G_700_S_0,G_700_S_0,700,0
G_194_S_0,G_194_S_0,194,0
G_399_S_0,G_399_S_0,399,0
G_597_S_0,G_597_S_0,597,0
G_703_S_0,G_703_S_0,703,0
G_731_S_0,G_731_S_0,731,0
G_859_S_0,G_859_S_0,859,0
G_240_S_0,G_240_S_0,240,0
G_272_S_0,G_272_S_0,272,0
G_938_S_0,G_938_S_0,938,0
G_278_S_0,G_278_S_0,278,0
G_570_S_1,G_570_S_1,570,1
G_297_S_0,G_297_S_0,297,0
G_318_S_0,G_318_S_0,318,0
G_368_S_0,G_368_S_0,368,0
G_711_S_0,G_711_S_0,711,0
G_359_S_0,G_359_S_0,359,0
G_400_S_0,G_400_S_0,400,0
G_579_S_0,G_579_S_0,579,0
G_408_S_0,G_408_S_0,408,0
G_533_S_0,G_533_S_0,533,0
G_641_S_0,G_641_S_0,641,0
G_553_S_0,G_553_S_0,553,0
G_441_S_0,G_441_S_0,441,0
G_477_S_0,G_477_S_0,477,0
G_704_S_0,G_704_S_0,704,0
G_502_S_0,G_502_S_0,502,0
G_775_S_0,G_775_S_0,775,0
G_582_S_0,G_582_S_0,582,0
G_691_S_0,G_691_S_0,691,0
G_843_S_0,G_843_S_0,843,0
G_747_S_0,G_747_S_0,747,0
G_837_S_0,G_837_S_0,837,0
